cellid,x,y,z,nonzero_voxels,vth,order_used,n_coeffs,delta_final,t_read,t_moments,t_transform
1824,-6912500.0,0.0,-1787500.0,184144,238164.85176632894,4,20,0.013960842327260643,0.10518370800127741,0.01848745800089091,0.06286141699820291
69088,-5312500.0,0.0,1012500.0,187968,238951.16671249084,4,20,0.0160154389406755,0.11293833301169798,0.028609625005628914,0.04920808400493115
6624,-6912500.0,0.0,-1587500.0,182839,238073.77070345578,4,20,0.013961914980910633,0.10864991700509563,0.023128667002310976,0.06436966700130142
66688,-5312500.0,0.0,912500.0,188800,239842.79998835016,4,20,0.023554355209305537,0.11349262499425095,0.02638937499432359,0.05874283300363459
4224,-6912500.0,0.0,-1687500.0,183824,238132.02123269913,4,20,0.013885082968885167,0.11470312500023283,0.0338142910040915,0.07327333300781902
928,687500.0,0.0,-1837500.0,188667,239494.13193563375,4,20,0.016403910265130744,0.06109712499892339,0.007591208006488159,0.0532384580001235
1536,887500.0,0.0,-1812500.0,189252,239486.36633299474,4,20,0.016322065195992354,0.057910709001589566,0.00601266699959524,0.057258959001046605
3328,687500.0,0.0,-1737500.0,188747,239528.48324103688,4,20,0.01652132899997857,0.06905795801139902,0.006252000006497838,0.0620374999998603
6336,887500.0,0.0,-1612500.0,189235,239574.4314157603,4,20,0.016509973582691954,0.06842733299708925,0.006122625010902993,0.05373579201113898
3936,887500.0,0.0,-1712500.0,189044,239528.02165121317,4,20,0.016468738119691493,0.05716199999733362,0.006889041003887542,0.0630339999916032
448,3687500.0,0.0,-1862500.0,188480,240203.75279674088,4,20,0.0002743499266633751,0.0540737500123214,0.006010208002408035,0.05938674999924842
2848,3687500.0,0.0,-1762500.0,187631,238851.12782525903,4,20,0.015723007640069286,0.06443658299394883,0.005780332998256199,0.06461695799953304
5248,3687500.0,0.0,-1662500.0,187783,238809.9126504045,4,20,0.015827717549106068,0.05829954199725762,0.006322875007754192,0.0589304169989191
1056,3887500.0,0.0,-1837500.0,187540,238787.64201433686,4,20,0.015694740427098147,0.05324174999259412,0.008236209003371187,0.05570008400536608
5856,3887500.0,0.0,-1637500.0,187509,238727.8775225895,4,20,0.015809702876962817,0.052041874994756654,0.007619374999194406,0.06355433301359881
3456,3887500.0,0.0,-1737500.0,187588,238772.17017714592,4,20,0.01567350874521333,0.057631708987173624,0.0058493749966146424,0.0650017080042744
4864,-5912500.0,0.0,-1662500.0,185586,238222.45408084508,4,20,0.014466663677644568,0.06259537499863654,0.00594554100825917,0.04667241600691341
2464,-5912500.0,0.0,-1762500.0,186320,238267.12529303154,4,20,0.014472455713175778,0.05801420900388621,0.009323541991761886,0.06373379100114107
64,-5912500.0,0.0,-1862500.0,188480,240203.75279674088,4,20,0.0002743499266633751,0.04935216599551495,0.005884874990442768,0.06922454200685024
55808,-7312500.0,0.0,462500.0,198865,253536.2518058795,11,286,0.04680903738183133,0.06742808299895842,0.009780166001291946,0.8663855000049807
58208,-7312500.0,0.0,562500.0,198208,249883.54161876356,10,220,0.046288872336018576,0.06440341701090802,0.006690374997560866,0.6182711669971468
6208,-2312500.0,0.0,-1612500.0,189263,239345.594741055,4,20,0.016119393998457448,0.05945508299919311,0.008698999998159707,0.05235625000204891
3808,-2312500.0,0.0,-1712500.0,189096,239345.28390561452,4,20,0.016012467010050338,0.05570783400617074,0.009615083996322937,0.05649866699241102
42016,-7112500.0,0.0,-112500.0,255360,245442.8582751937,17,969,0.04578689354079236,0.13101129099959508,0.01443450000078883,2.876485250002588
1408,-2312500.0,0.0,-1812500.0,189168,239328.41289946242,4,20,0.01593059632949878,0.05903879199468065,0.005952084000455216,0.05754237499786541
3200,-2512500.0,0.0,-1737500.0,189160,239290.31073029526,4,20,0.015935052710143508,0.059528750003664754,0.008334124999237247,0.05263579099846538
5600,-2512500.0,0.0,-1637500.0,189023,239278.8046943989,4,20,0.01607358454763831,0.062254750009742565,0.0059154579939786345,0.05839312500029337
63616,-7112500.0,0.0,787500.0,192195,242171.09245616963,4,20,0.043474421304890765,0.05415008398995269,0.008794332999968901,0.05711449999944307
61216,-7112500.0,0.0,687500.0,195776,245091.25848485812,5,35,0.049874923165201104,0.059632958000293,0.00977104200865142,0.09777029100223444
41472,-5712500.0,0.0,-137500.0,249216,248550.2170914248,17,969,0.04876361646213724,0.08406100000138395,0.0064934999973047525,2.8780352499888977
42624,-6912500.0,0.0,-87500.0,262272,243427.35175485341,18,1140,0.047848806348760736,0.08339904200693127,0.0064618750038789585,3.373344959007227
44416,-7112500.0,0.0,-12500.0,286912,244400.23899263548,19,1330,0.04934493055991056,0.11579912500747014,0.013089000000036322,3.8676295000041137
6560,6487500.0,0.0,-1612500.0,183247,238116.2247696848,4,20,0.014130279243278459,0.05868308299977798,0.012776042000041343,0.05450233299052343
1760,6487500.0,0.0,-1812500.0,185160,238188.49373774749,4,20,0.014152795222926036,0.05804545899445657,0.006015207996824756,0.05871208300231956
4160,6487500.0,0.0,-1712500.0,184728,238168.3648941354,4,20,0.014068038388261985,0.05732387500756886,0.0059840419999090955,0.05305779099580832
43872,-5712500.0,0.0,-37500.0,284544,243851.7308412474,19,1330,0.04844147492998679,0.08102883299579844,0.006558000008226372,3.8924592080002185
65408,-7312500.0,0.0,862500.0,190400,240624.94782078528,4,20,0.029976060956324973,0.05529766700055916,0.008433625000179745,0.05815954199351836
5952,6287500.0,0.0,-1637500.0,184888,238149.79280811464,4,20,0.014228536188385451,0.05727420799667016,0.006548041012138128,0.06134529199334793
52832,-6712500.0,0.0,337500.0,202667,254174.25943298414,11,286,0.04671997960771912,0.06333991599967703,0.007110875012585893,0.8348881249985425
70208,-7312500.0,0.0,1062500.0,186848,238572.96881462363,4,20,0.01394145862851417,0.05581437499495223,0.012008459001663141,0.058841292004217394
67808,-7312500.0,0.0,962500.0,188956,239308.74194631304,4,20,0.01858673054260534,0.05994187500618864,0.007447709009284154,0.06400475000555161
6720,-4512500.0,0.0,-1587500.0,186436,238526.95848347642,4,20,0.015586245728440704,0.055753458000253886,0.009762166009750217,0.05684408299566712
4320,-4512500.0,0.0,-1687500.0,186704,238571.57637126502,4,20,0.015430931729204457,0.054174459000932984,0.012447917004465126,0.05430420899938326
1920,-4512500.0,0.0,-1787500.0,186860,238610.1924052608,4,20,0.015398401452277367,0.05432045800262131,0.0062979170033941045,0.058812458999454975
68416,-7112500.0,0.0,987500.0,188279,239081.70927425646,4,20,0.016920973501294526,0.05945791699923575,0.010790792002808303,0.05432737500814255
50432,-6712500.0,0.0,237500.0,219520,252912.03382653662,13,455,0.04919954816806762,0.0708540420018835,0.007256875003804453,1.3147293329966487
42304,87500.0,0.0,-112500.0,300416,258205.57804624017,14,560,0.04528659809276509,0.09458091600390617,0.006142625003121793,1.6240293750015553
66016,-7112500.0,0.0,887500.0,189815,240219.9640812973,4,20,0.026389440256293986,0.054016250011045486,0.006176916998811066,0.06322887500573415
70816,-7112500.0,0.0,1087500.0,186688,238441.74968718618,4,20,0.013470225952493566,0.06063516699941829,0.006147249994683079,0.061829208993003704
44704,87500.0,0.0,-12500.0,314612,254273.95758225193,14,560,0.04819200002694355,0.10582254199835006,0.006177000002935529,1.6275743329897523
69024,-6912500.0,0.0,1012500.0,186544,238885.2705271011,4,20,0.015666316466592195,0.06260462501086295,0.0104576250014361,0.0680255410115933
66624,-6912500.0,0.0,912500.0,189303,239863.88339239775,4,20,0.02335754652401183,0.08780729200225323,0.006394750002073124,0.05222320801112801
5280,4487500.0,0.0,-1662500.0,186835,238542.60925770114,4,20,0.015464041482832981,0.063285750002251,0.009412707993760705,0.05502166699443478
2880,4487500.0,0.0,-1762500.0,186692,238585.4037472425,4,20,0.015387678795802521,0.05983720799849834,0.006490707994089462,0.06565054200473242
480,4487500.0,0.0,-1862500.0,188480,240203.75279674088,4,20,0.0002743499266633751,0.053187875004368834,0.006252499995753169,0.055522334005218
73824,-6912500.0,0.0,1212500.0,185031,238057.87819981098,4,20,0.012989138833628159,0.057522125003742985,0.006163749989354983,0.05290904200228397
71424,-6912500.0,0.0,1112500.0,186176,238332.68220076954,4,20,0.013177828974031889,0.056303582998225465,0.006097791003412567,0.05800245799764525
76224,-6912500.0,0.0,1312500.0,183720,237940.8709370475,4,20,0.013398609789348688,0.04910470900358632,0.006003999995300546,0.05823945799784269
55392,-2712500.0,0.0,437500.0,201048,255036.70847398415,10,220,0.049159882006590244,0.05779958300990984,0.008774750007432885,0.6165077909972752
6048,-6312500.0,0.0,-1612500.0,184827,238140.4606976815,4,20,0.014249366438152422,0.058353375003207475,0.0060269169916864485,0.058530333000817336
